Sensor_ID,Sensor_Type,Floor,Room,timestamp,voc
6,AirQualitySensor,1,OpenArea,2025-06-07 03:00:00,266.0
6,AirQualitySensor,1,OpenArea,2025-06-07 04:00:00,272.0
6,AirQualitySensor,1,OpenArea,2025-06-07 05:00:00,277.0
6,AirQualitySensor,1,OpenArea,2025-06-07 06:00:00,285.0
6,AirQualitySensor,1,OpenArea,2025-06-07 07:00:00,297.0
6,AirQualitySensor,1,OpenArea,2025-06-07 08:00:00,319.0
6,AirQualitySensor,1,OpenArea,2025-06-07 09:00:00,326.0
6,AirQualitySensor,1,OpenArea,2025-06-07 10:00:00,335.0
6,AirQualitySensor,1,OpenArea,2025-06-07 11:00:00,338.0
6,AirQualitySensor,1,OpenArea,2025-06-07 12:00:00,339.0
6,AirQualitySensor,1,OpenArea,2025-06-07 13:00:00,338.0
6,AirQualitySensor,1,OpenArea,2025-06-07 14:00:00,341.0
6,AirQualitySensor,1,OpenArea,2025-06-07 15:00:00,345.0
6,AirQualitySensor,1,OpenArea,2025-06-07 16:00:00,348.0
6,AirQualitySensor,1,OpenArea,2025-06-07 17:00:00,354.0
6,AirQualitySensor,1,OpenArea,2025-06-07 18:00:00,351.0
6,AirQualitySensor,1,OpenArea,2025-06-07 19:00:00,347.0
6,AirQualitySensor,1,OpenArea,2025-06-07 20:00:00,347.0
6,AirQualitySensor,1,OpenArea,2025-06-07 21:00:00,349.0
6,AirQualitySensor,1,OpenArea,2025-06-07 22:00:00,351.0
6,AirQualitySensor,1,OpenArea,2025-06-07 23:00:00,353.0
6,AirQualitySensor,1,OpenArea,2025-06-08 00:00:00,356.0
6,AirQualitySensor,1,OpenArea,2025-06-08 01:00:00,346.0
6,AirQualitySensor,1,OpenArea,2025-06-08 02:00:00,254.0
6,AirQualitySensor,1,OpenArea,2025-06-08 03:00:00,175.0
6,AirQualitySensor,1,OpenArea,2025-06-08 04:00:00,125.0
6,AirQualitySensor,1,OpenArea,2025-06-08 05:00:00,92.0
6,AirQualitySensor,1,OpenArea,2025-06-08 06:00:00,76.4
6,AirQualitySensor,1,OpenArea,2025-06-08 07:00:00,63.0
6,AirQualitySensor,1,OpenArea,2025-06-08 08:00:00,71.8
6,AirQualitySensor,1,OpenArea,2025-06-08 09:00:00,135.0
6,AirQualitySensor,1,OpenArea,2025-06-08 10:00:00,182.0
6,AirQualitySensor,1,OpenArea,2025-06-08 11:00:00,201.0
6,AirQualitySensor,1,OpenArea,2025-06-08 12:00:00,219.0
6,AirQualitySensor,1,OpenArea,2025-06-08 13:00:00,231.0
6,AirQualitySensor,1,OpenArea,2025-06-08 14:00:00,245.0
6,AirQualitySensor,1,OpenArea,2025-06-08 15:00:00,260.0
6,AirQualitySensor,1,OpenArea,2025-06-08 16:00:00,272.0
6,AirQualitySensor,1,OpenArea,2025-06-08 17:00:00,284.0
6,AirQualitySensor,1,OpenArea,2025-06-08 18:00:00,292.0
6,AirQualitySensor,1,OpenArea,2025-06-08 19:00:00,301.0
6,AirQualitySensor,1,OpenArea,2025-06-08 20:00:00,297.0
6,AirQualitySensor,1,OpenArea,2025-06-08 21:00:00,295.0
6,AirQualitySensor,1,OpenArea,2025-06-08 22:00:00,299.0
6,AirQualitySensor,1,OpenArea,2025-06-08 23:00:00,303.0
6,AirQualitySensor,1,OpenArea,2025-06-09 00:00:00,312.0
6,AirQualitySensor,1,OpenArea,2025-06-09 01:00:00,194.0
6,AirQualitySensor,1,OpenArea,2025-06-09 02:00:00,133.0
6,AirQualitySensor,1,OpenArea,2025-06-09 03:00:00,95.4
6,AirQualitySensor,1,OpenArea,2025-06-09 04:00:00,73.5
6,AirQualitySensor,1,OpenArea,2025-06-09 05:00:00,52.2
6,AirQualitySensor,1,OpenArea,2025-06-09 06:00:00,35.8
6,AirQualitySensor,1,OpenArea,2025-06-09 07:00:00,28.4
6,AirQualitySensor,1,OpenArea,2025-06-09 08:00:00,22.3
6,AirQualitySensor,1,OpenArea,2025-06-09 09:00:00,22.8
6,AirQualitySensor,1,OpenArea,2025-06-09 10:00:00,22.4
6,AirQualitySensor,1,OpenArea,2025-06-09 11:00:00,22.1
6,AirQualitySensor,1,OpenArea,2025-06-09 12:00:00,15.6
6,AirQualitySensor,1,OpenArea,2025-06-09 13:00:00,8.31
6,AirQualitySensor,1,OpenArea,2025-06-09 14:00:00,34.4
6,AirQualitySensor,1,OpenArea,2025-06-09 15:00:00,61.7
6,AirQualitySensor,1,OpenArea,2025-06-09 16:00:00,85.3
6,AirQualitySensor,1,OpenArea,2025-06-09 17:00:00,110.0
6,AirQualitySensor,1,OpenArea,2025-06-09 18:00:00,133.0
6,AirQualitySensor,1,OpenArea,2025-06-09 19:00:00,152.0
6,AirQualitySensor,1,OpenArea,2025-06-09 20:00:00,166.0
6,AirQualitySensor,1,OpenArea,2025-06-09 21:00:00,178.0
6,AirQualitySensor,1,OpenArea,2025-06-09 22:00:00,186.0
6,AirQualitySensor,1,OpenArea,2025-06-09 23:00:00,199.0
6,AirQualitySensor,1,OpenArea,2025-06-10 00:00:00,183.0
6,AirQualitySensor,1,OpenArea,2025-06-10 01:00:00,73.2
6,AirQualitySensor,1,OpenArea,2025-06-10 02:00:00,29.5
6,AirQualitySensor,1,OpenArea,2025-06-10 03:00:00,18.9
6,AirQualitySensor,1,OpenArea,2025-06-10 04:00:00,14.6
6,AirQualitySensor,1,OpenArea,2025-06-10 05:00:00,7.8
6,AirQualitySensor,1,OpenArea,2025-06-10 06:00:00,8.0
6,AirQualitySensor,1,OpenArea,2025-06-10 07:00:00,9.0
6,AirQualitySensor,1,OpenArea,2025-06-10 08:00:00,19.6
6,AirQualitySensor,1,OpenArea,2025-06-10 09:00:00,33.4
6,AirQualitySensor,1,OpenArea,2025-06-10 10:00:00,37.9
6,AirQualitySensor,1,OpenArea,2025-06-10 11:00:00,43.1
6,AirQualitySensor,1,OpenArea,2025-06-10 12:00:00,30.8
6,AirQualitySensor,1,OpenArea,2025-06-10 13:00:00,29.2
6,AirQualitySensor,1,OpenArea,2025-06-10 14:00:00,51.1
6,AirQualitySensor,1,OpenArea,2025-06-10 15:00:00,73.8
6,AirQualitySensor,1,OpenArea,2025-06-10 16:00:00,84.1
6,AirQualitySensor,1,OpenArea,2025-06-10 17:00:00,106.0
6,AirQualitySensor,1,OpenArea,2025-06-10 18:00:00,120.0
6,AirQualitySensor,1,OpenArea,2025-06-10 19:00:00,140.0
6,AirQualitySensor,1,OpenArea,2025-06-10 20:00:00,154.0
6,AirQualitySensor,1,OpenArea,2025-06-10 21:00:00,171.0
6,AirQualitySensor,1,OpenArea,2025-06-10 22:00:00,187.0
6,AirQualitySensor,1,OpenArea,2025-06-10 23:00:00,210.0
6,AirQualitySensor,1,OpenArea,2025-06-11 00:00:00,200.0
6,AirQualitySensor,1,OpenArea,2025-06-11 01:00:00,88.7
6,AirQualitySensor,1,OpenArea,2025-06-11 02:00:00,52.2
6,AirQualitySensor,1,OpenArea,2025-06-11 03:00:00,42.5
6,AirQualitySensor,1,OpenArea,2025-06-11 04:00:00,30.6
6,AirQualitySensor,1,OpenArea,2025-06-11 05:00:00,23.0
6,AirQualitySensor,1,OpenArea,2025-06-11 06:00:00,17.6
6,AirQualitySensor,1,OpenArea,2025-06-11 07:00:00,25.9
6,AirQualitySensor,1,OpenArea,2025-06-11 08:00:00,27.3
6,AirQualitySensor,1,OpenArea,2025-06-11 09:00:00,31.0
6,AirQualitySensor,1,OpenArea,2025-06-11 10:00:00,29.9
6,AirQualitySensor,1,OpenArea,2025-06-11 11:00:00,27.5
6,AirQualitySensor,1,OpenArea,2025-06-11 12:00:00,34.3
6,AirQualitySensor,1,OpenArea,2025-06-11 13:00:00,46.8
6,AirQualitySensor,1,OpenArea,2025-06-11 14:00:00,63.4
6,AirQualitySensor,1,OpenArea,2025-06-11 15:00:00,77.0
6,AirQualitySensor,1,OpenArea,2025-06-11 16:00:00,85.4
6,AirQualitySensor,1,OpenArea,2025-06-11 17:00:00,107.0
6,AirQualitySensor,1,OpenArea,2025-06-11 18:00:00,128.0
6,AirQualitySensor,1,OpenArea,2025-06-11 19:00:00,142.0
6,AirQualitySensor,1,OpenArea,2025-06-11 20:00:00,155.0
6,AirQualitySensor,1,OpenArea,2025-06-11 21:00:00,190.0
6,AirQualitySensor,1,OpenArea,2025-06-11 22:00:00,212.0
6,AirQualitySensor,1,OpenArea,2025-06-11 23:00:00,221.0
6,AirQualitySensor,1,OpenArea,2025-06-12 00:00:00,198.0
6,AirQualitySensor,1,OpenArea,2025-06-12 01:00:00,91.1
6,AirQualitySensor,1,OpenArea,2025-06-12 02:00:00,59.2
6,AirQualitySensor,1,OpenArea,2025-06-12 03:00:00,45.2
6,AirQualitySensor,1,OpenArea,2025-06-12 04:00:00,36.7
6,AirQualitySensor,1,OpenArea,2025-06-12 05:00:00,31.4
6,AirQualitySensor,1,OpenArea,2025-06-12 06:00:00,27.1
6,AirQualitySensor,1,OpenArea,2025-06-12 07:00:00,32.5
6,AirQualitySensor,1,OpenArea,2025-06-12 08:00:00,34.6
6,AirQualitySensor,1,OpenArea,2025-06-12 09:00:00,36.0
6,AirQualitySensor,1,OpenArea,2025-06-12 10:00:00,31.0
6,AirQualitySensor,1,OpenArea,2025-06-12 11:00:00,30.8
6,AirQualitySensor,1,OpenArea,2025-06-12 12:00:00,22.8
6,AirQualitySensor,1,OpenArea,2025-06-12 13:00:00,48.1
6,AirQualitySensor,1,OpenArea,2025-06-12 14:00:00,76.4
6,AirQualitySensor,1,OpenArea,2025-06-12 15:00:00,88.8
6,AirQualitySensor,1,OpenArea,2025-06-12 16:00:00,97.4
6,AirQualitySensor,1,OpenArea,2025-06-12 17:00:00,115.0
6,AirQualitySensor,1,OpenArea,2025-06-12 18:00:00,128.0
6,AirQualitySensor,1,OpenArea,2025-06-12 19:00:00,145.0
6,AirQualitySensor,1,OpenArea,2025-06-12 20:00:00,162.0
6,AirQualitySensor,1,OpenArea,2025-06-12 21:00:00,203.0
6,AirQualitySensor,1,OpenArea,2025-06-12 22:00:00,232.0
6,AirQualitySensor,1,OpenArea,2025-06-12 23:00:00,248.0
6,AirQualitySensor,1,OpenArea,2025-06-13 00:00:00,167.0
6,AirQualitySensor,1,OpenArea,2025-06-13 01:00:00,72.3
6,AirQualitySensor,1,OpenArea,2025-06-13 02:00:00,67.9
6,AirQualitySensor,1,OpenArea,2025-06-13 03:00:00,146.0
6,AirQualitySensor,1,OpenArea,2025-06-13 04:00:00,89.3
6,AirQualitySensor,1,OpenArea,2025-06-13 05:00:00,64.9
6,AirQualitySensor,1,OpenArea,2025-06-13 06:00:00,63.7
6,AirQualitySensor,1,OpenArea,2025-06-13 07:00:00,79.6
6,AirQualitySensor,1,OpenArea,2025-06-13 08:00:00,84.5
6,AirQualitySensor,1,OpenArea,2025-06-13 09:00:00,72.8
6,AirQualitySensor,1,OpenArea,2025-06-13 10:00:00,64.9
6,AirQualitySensor,1,OpenArea,2025-06-13 11:00:00,65.3
6,AirQualitySensor,1,OpenArea,2025-06-13 12:00:00,45.6
6,AirQualitySensor,1,OpenArea,2025-06-13 13:00:00,63.7
6,AirQualitySensor,1,OpenArea,2025-06-13 14:00:00,79.0
6,AirQualitySensor,1,OpenArea,2025-06-13 15:00:00,95.2
6,AirQualitySensor,1,OpenArea,2025-06-13 16:00:00,101.0
6,AirQualitySensor,1,OpenArea,2025-06-13 17:00:00,120.0
6,AirQualitySensor,1,OpenArea,2025-06-13 18:00:00,140.0
6,AirQualitySensor,1,OpenArea,2025-06-13 19:00:00,157.0
6,AirQualitySensor,1,OpenArea,2025-06-13 20:00:00,175.0
6,AirQualitySensor,1,OpenArea,2025-06-13 21:00:00,191.0
6,AirQualitySensor,1,OpenArea,2025-06-13 22:00:00,203.0
6,AirQualitySensor,1,OpenArea,2025-06-13 23:00:00,220.0
6,AirQualitySensor,1,OpenArea,2025-06-14 00:00:00,188.0
6,AirQualitySensor,1,OpenArea,2025-06-14 01:00:00,79.7
6,AirQualitySensor,1,OpenArea,2025-06-14 02:00:00,63.2
6,AirQualitySensor,1,OpenArea,2025-06-14 03:00:00,54.1
6,AirQualitySensor,1,OpenArea,2025-06-14 04:00:00,46.1
6,AirQualitySensor,1,OpenArea,2025-06-14 05:00:00,45.8
6,AirQualitySensor,1,OpenArea,2025-06-14 06:00:00,54.2
6,AirQualitySensor,1,OpenArea,2025-06-14 07:00:00,44.2
6,AirQualitySensor,1,OpenArea,2025-06-14 08:00:00,59.3
6,AirQualitySensor,1,OpenArea,2025-06-14 09:00:00,61.2
6,AirQualitySensor,1,OpenArea,2025-06-14 10:00:00,62.2
6,AirQualitySensor,1,OpenArea,2025-06-14 11:00:00,61.7
6,AirQualitySensor,1,OpenArea,2025-06-14 12:00:00,72.3
6,AirQualitySensor,1,OpenArea,2025-06-14 13:00:00,118.0
6,AirQualitySensor,1,OpenArea,2025-06-14 14:00:00,137.0
6,AirQualitySensor,1,OpenArea,2025-06-14 15:00:00,155.0
6,AirQualitySensor,1,OpenArea,2025-06-14 16:00:00,176.0
6,AirQualitySensor,1,OpenArea,2025-06-14 17:00:00,195.0
6,AirQualitySensor,1,OpenArea,2025-06-14 18:00:00,212.0
6,AirQualitySensor,1,OpenArea,2025-06-14 19:00:00,226.0
6,AirQualitySensor,1,OpenArea,2025-06-14 20:00:00,244.0
6,AirQualitySensor,1,OpenArea,2025-06-14 21:00:00,262.0
6,AirQualitySensor,1,OpenArea,2025-06-14 22:00:00,268.0
6,AirQualitySensor,1,OpenArea,2025-06-14 23:00:00,276.0
