Sensor_ID,Sensor_Type,Floor,Room,timestamp,illuminance
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-10 05:00:00,26.2
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-10 06:00:00,35.7
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-10 07:00:00,16.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-10 08:00:00,16.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-10 09:00:00,14.4
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-10 10:00:00,6.4
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-11 02:00:00,14.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-11 03:00:00,44.7
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-11 04:00:00,189.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-11 05:00:00,199.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-11 06:00:00,15.2
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-11 07:00:00,8.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-11 08:00:00,7.33
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-11 09:00:00,5.5
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-12 01:00:00,17.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-12 02:00:00,85.3
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-12 03:00:00,175.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-12 04:00:00,285.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-12 05:00:00,179.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-12 06:00:00,23.7
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-12 07:00:00,14.3
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-12 08:00:00,10.3
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-12 09:00:00,6.75
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-12 10:00:00,5.0
